DevOps #,Title,Description,Tshirt Size,ICF Priority ,Marketing Priority,Column1,KEY - T-shirt Sizes,,
Feature 10637,Jaws Digital Extension,Development beginning in 2026. Go live is Early April 2026,L,Continued from Previous PI,1,,Size,Time Span,Estimated Cost 
US 10265,TierTypeDescription to Display in Odds & Available Prizes Table,Allows the “Odds and Available Prizes” table to be flexible to include <TierType> from prize file Brightstar provided. ,S/M,Continued from Previous PI,2,will not be part of R12 OR R13. need to QA and Deploy. Must go out with Vendor Contact,S/M,1 PI or Less ,>$150k
Epic 11322,Vendor contact online Form,Desired go live end of Feb 2026,S/M,Continued from Previous PI,3,,M,1 PI or Less ,>$250k
Feature 6499,Winners Awareness Map,Go live of June 2026 - Dependecies on Brightstar,L,Continued from Previous PI,4,,L,2 PIs or Less ,>$350k
US 10358 (this is the short-term),SOLR Synonym File for Site Search + Site Search Optimization,"Provide synonyms.txt file to Marketing. Marketing will populate with typos and synonyms, then needs to be added back to the SOLR server by ITSD. Also, Define business requirements for PWS search optimization
Short term - Back end change 
Long term change would require  UX/UI partnership with marketing to define the requirements of the User Flow (za: this needs a US)",S/M,New ,5,"as the current task is- ICF to propose solution for buy-in. If we want to visit Search as a WHOLE for site, then would be bundled under UX/UI Audit ",XL,3 PIs or Less,>$450k
,Powershell Script & Implementation (Final Layout > Shared Layout),"Develop and run Powershell script for all web pages that will utilize English Final Layout to create English and non-English Shared Layout and publish.  Nearly all of our web pages utilize Final Layout, so this script must eliminate the need for content authors to manually adjust Final Layout in each non-English version to reach parity with English version.  (Translations Phase 4) ",,,6,Translations Phase 4 Bundle ,XXL,3+ PIs ,$500k+ 
Epic 11485,Scratchers: Key info should be a shared field for translation ,"Review scratchers template to identify any fields that should be shared to improve the content author experience for translations and not impact functionality of scratchers features.  This must include New, Hot Seller, and Games Ending Soon tags; Retail Sales End Date Field; etc. (Translations Phase 4)",XS,6,7,Translations Phase 4 Bundle ,,,
,Scratchers Persona Quiz Results,Update selected Scratchers on English Scratchers Quiz Persona Results pages to be a shared field across all languages.  Include ability to easily publish selected Scratchers on non-English Scratchers Quiz Persona Results pages. (Translations Phase 4),,,8,Translations Phase 4 Bundle ,,,
,Destination URL for PWS Popovers,"Develop ability for PWS Popovers to have a destination URL so that users can click through to any area of the website.  Currently, PWS Popovers only support a ""Dismiss"" CTA which closes the popover and leaves the user on the same page.",S,,9,,,,
Task 10627,Display Mega Millions Jackpot Amount in Tabs on MM Page,Ticket exists but requirements must still be solidified.  The jackpot amount (5 Numbers + Mega tier) to be displayed in Last Draw Details and Past Winning Numbers tabs on Mega Millions page.,,,10,,,,
,"Display Mega Millions Multiplier # within ""Top Winning Tickets Were Sold At"" Content on MM Page","When there are CA winners for Mega Millions draws, the winning ticket type (ex: 5/5 Ticket) and retail locations where tickets were sold are featured in right side of Last Draw Details tab on the Mega Millions page within ""Top Winning Tickets Were Sold At"" content.  Update content for each ticket type to include the Multiplier #.  Example: ""5/5 Ticket"" would be updated to""5/5 Ticket and 3X Multiplier"" ",,,11,likely needs UI/UX,,,
